ai|pgai_lib_migration
dos|migration_history
dos|migration_lock
dos|migration_status
dos|module_migrations
dos|platform_migrations
dos|schema_migrations
dos|tenant_migrations
dos|tenant_migrations_failed
dos|tenant_migrations_latest
dos_archive|tenant_migrations_failed_20260430
dos_archive|tenant_migrations_orphans_20260430
pg_catalog|pg_dist_node_metadata
pg_catalog|pg_largeobject_metadata
platform_dos|migrations_applied
public|dos_migrations
public|powa_snapshot_metas
public|schema_migrations
tenant_2ba4b5323361413cac6c9c992f66bec4|evidence_metadata
tenant_2c71cc2d67284394b2c402ac087bba82|evidence_metadata
tenant_51f36271df62ea3d|evidence_metadata
tenant_76ce30e4168341d09913919227afdf1a|evidence_metadata
tenant_84387f0b783a47f78cf1f844b31ad286|evidence_metadata
tenant_a765b0362188|evidence_metadata
tenant_a7f7b3f6f0df|evidence_metadata
tenant_d28556d16acd46b79b2f170ad3b5cfb8|evidence_metadata
tenant_dogan|evidence_metadata
tenant_douhan_consult|evidence_metadata
tenant_f2a45bc25f31|evidence_metadata
tenant_shahin_visitors|evidence_metadata
tenant_validate_migrations|evidence_metadata
