id,control_id,framework_code,control_number,evidence_type_code,is_mandatory,requirement_description_en,expected_content_en,collection_frequency,retention_period_months,maximum_age_days,requires_attestation,attestation_role,display_order
1,1,NCA-ECC,1.1,POLICY,True,Provide policy demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,False,,1
2,1,NCA-ECC,1.1,PROCEDURE,True,Provide procedure demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,False,,2
3,1,NCA-ECC,1.1,STANDARD,False,Provide standard demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,False,,3
4,1,NCA-ECC,1.1,CONFIG,False,Provide config demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,False,,4
5,1,NCA-ECC,1.1,TRAINING_RECORD,False,Provide training record demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,False,,5
6,1,NCA-ECC,1.1,APPROVAL,False,Provide approval demonstrating implementation of Governance - Control 1,Documentation showing preventive control implementation,annually,36,365,True,Management,6
7,2,NCA-ECC,2.1,LOG,True,Provide log demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,1
8,2,NCA-ECC,2.1,REPORT,True,Provide report demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,2
9,2,NCA-ECC,2.1,SCREENSHOT,False,Provide screenshot demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,3
10,2,NCA-ECC,2.1,SCAN_REPORT,False,Provide scan report demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,4
11,2,NCA-ECC,2.1,ACCESS_REVIEW,False,Provide access review demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,5
12,2,NCA-ECC,2.1,AUDIT_REPORT,False,Provide audit report demonstrating implementation of Defense - Control 1,Documentation showing detective control implementation,quarterly,36,90,False,,6
13,3,NCA-ECC,3.1,INCIDENT_REPORT,True,Provide incident report demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,False,,1
14,3,NCA-ECC,3.1,MEETING_MINUTES,True,Provide meeting minutes demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,False,,2
15,3,NCA-ECC,3.1,TEST_RESULT,False,Provide test result demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,False,,3
16,3,NCA-ECC,3.1,ATTESTATION,False,Provide attestation demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,True,CISO,4
17,3,NCA-ECC,3.1,RISK_ASSESSMENT,False,Provide risk assessment demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,False,,5
18,3,NCA-ECC,3.1,CHANGE_RECORD,False,Provide change record demonstrating implementation of Resilience - Control 1,Documentation showing corrective control implementation,monthly,36,30,False,,6
19,4,NCA-ECC,4.1,POLICY,True,Provide policy demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,False,,1
20,4,NCA-ECC,4.1,PROCEDURE,True,Provide procedure demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,False,,2
21,4,NCA-ECC,4.1,STANDARD,False,Provide standard demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,False,,3
22,4,NCA-ECC,4.1,CONFIG,False,Provide config demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,False,,4
23,4,NCA-ECC,4.1,TRAINING_RECORD,False,Provide training record demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,False,,5
24,4,NCA-ECC,4.1,APPROVAL,False,Provide approval demonstrating implementation of Third Party - Control 1,Documentation showing preventive control implementation,continuous,36,30,True,Management,6
25,5,NCA-ECC,5.1,LOG,True,Provide log demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,1
26,5,NCA-ECC,5.1,REPORT,True,Provide report demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,2
27,5,NCA-ECC,5.1,SCREENSHOT,False,Provide screenshot demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,3
28,5,NCA-ECC,5.1,SCAN_REPORT,False,Provide scan report demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,4
29,5,NCA-ECC,5.1,ACCESS_REVIEW,False,Provide access review demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,5
30,5,NCA-ECC,5.1,AUDIT_REPORT,False,Provide audit report demonstrating implementation of ICS - Control 1,Documentation showing detective control implementation,annually,36,365,False,,6
31,6,NCA-ECC,1.2,INCIDENT_REPORT,True,Provide incident report demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,False,,1
32,6,NCA-ECC,1.2,MEETING_MINUTES,True,Provide meeting minutes demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,False,,2
33,6,NCA-ECC,1.2,TEST_RESULT,False,Provide test result demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,False,,3
34,6,NCA-ECC,1.2,ATTESTATION,False,Provide attestation demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,True,CISO,4
35,6,NCA-ECC,1.2,RISK_ASSESSMENT,False,Provide risk assessment demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,False,,5
36,6,NCA-ECC,1.2,CHANGE_RECORD,False,Provide change record demonstrating implementation of Governance - Control 2,Documentation showing corrective control implementation,quarterly,36,90,False,,6
37,7,NCA-ECC,2.2,POLICY,True,Provide policy demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,False,,1
38,7,NCA-ECC,2.2,PROCEDURE,True,Provide procedure demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,False,,2
39,7,NCA-ECC,2.2,STANDARD,False,Provide standard demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,False,,3
40,7,NCA-ECC,2.2,CONFIG,False,Provide config demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,False,,4
41,7,NCA-ECC,2.2,TRAINING_RECORD,False,Provide training record demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,False,,5
42,7,NCA-ECC,2.2,APPROVAL,False,Provide approval demonstrating implementation of Defense - Control 2,Documentation showing preventive control implementation,monthly,36,30,True,Management,6
43,8,NCA-ECC,3.2,LOG,True,Provide log demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,1
44,8,NCA-ECC,3.2,REPORT,True,Provide report demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,2
45,8,NCA-ECC,3.2,SCREENSHOT,False,Provide screenshot demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,3
46,8,NCA-ECC,3.2,SCAN_REPORT,False,Provide scan report demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,4
47,8,NCA-ECC,3.2,ACCESS_REVIEW,False,Provide access review demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,5
48,8,NCA-ECC,3.2,AUDIT_REPORT,False,Provide audit report demonstrating implementation of Resilience - Control 2,Documentation showing detective control implementation,continuous,36,30,False,,6
