id,control_id,framework_code,control_number,sector_code,applicability,sector_priority,sector_maturity_level,sector_specific_guidance_en,additional_evidence_types,exemption_allowed
1,1,NCA-ECC,1.1,BANKING,mandatory,critical,1,Financial institutions must implement enhanced controls per SAMA requirements,AUDIT_REPORT|RISK_ASSESSMENT,False
2,1,NCA-ECC,1.1,INSURANCE,mandatory,critical,1,,,False
3,1,NCA-ECC,1.1,CAPITAL_MARKETS,mandatory,critical,1,,,False
4,1,NCA-ECC,1.1,FINTECH,mandatory,critical,1,FinTech companies must meet both SAMA and PCI requirements,PENTEST|SCAN_REPORT,False
5,1,NCA-ECC,1.1,HEALTHCARE,mandatory,critical,1,Healthcare organizations must ensure patient data protection per MOH standards,CERTIFICATE|TRAINING_RECORD,False
6,1,NCA-ECC,1.1,TELECOM,mandatory,critical,1,,,False
7,1,NCA-ECC,1.1,ICT,mandatory,critical,1,,,False
8,1,NCA-ECC,1.1,CLOUD,mandatory,critical,1,,,False
9,1,NCA-ECC,1.1,GOVERNMENT,mandatory,critical,1,Government entities must comply with NCA mandatory requirements,ATTESTATION|APPROVAL,False
10,1,NCA-ECC,1.1,ENERGY,mandatory,critical,1,Critical infrastructure requires enhanced OT security controls,BCP_DRP|INCIDENT_REPORT,False
11,1,NCA-ECC,1.1,DEFENSE,mandatory,critical,1,,,False
12,2,NCA-ECC,2.1,BANKING,mandatory,critical,2,Financial institutions must implement enhanced controls per SAMA requirements,AUDIT_REPORT|RISK_ASSESSMENT,False
13,2,NCA-ECC,2.1,INSURANCE,mandatory,high,2,,,False
14,2,NCA-ECC,2.1,CAPITAL_MARKETS,mandatory,high,2,,,False
15,2,NCA-ECC,2.1,FINTECH,mandatory,critical,2,FinTech companies must meet both SAMA and PCI requirements,PENTEST|SCAN_REPORT,False
16,2,NCA-ECC,2.1,HEALTHCARE,mandatory,critical,2,Healthcare organizations must ensure patient data protection per MOH standards,CERTIFICATE|TRAINING_RECORD,False
17,2,NCA-ECC,2.1,TELECOM,mandatory,high,2,,,False
18,2,NCA-ECC,2.1,ICT,mandatory,high,2,,,False
19,2,NCA-ECC,2.1,CLOUD,mandatory,high,2,,,False
