id,framework_code,version_number,control_number,domain_code,domain_name_en,title_en,title_ar,requirement_en,requirement_ar,objective_en,control_type,control_category,maturity_level,priority,is_mandatory,testing_frequency,status
1,NCA-ECC,2.0,1.1,1,Governance,Governance - Control 1,Governance - ضابط 1,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,preventive,administrative,1,critical,True,annually,active
2,NCA-ECC,2.0,2.1,2,Defense,Defense - Control 1,Defense - ضابط 1,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,detective,technical,2,high,True,quarterly,active
3,NCA-ECC,2.0,3.1,3,Resilience,Resilience - Control 1,Resilience - ضابط 1,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,corrective,operational,3,medium,True,monthly,active
4,NCA-ECC,2.0,4.1,4,Third Party,Third Party - Control 1,Third Party - ضابط 1,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,preventive,administrative,4,low,True,continuous,active
5,NCA-ECC,2.0,5.1,5,ICS,ICS - Control 1,ICS - ضابط 1,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,detective,technical,1,critical,True,annually,active
6,NCA-ECC,2.0,1.2,1,Governance,Governance - Control 2,Governance - ضابط 2,The organization shall implement governance controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Governance لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective governance practices,corrective,operational,2,high,True,quarterly,active
7,NCA-ECC,2.0,2.2,2,Defense,Defense - Control 2,Defense - ضابط 2,The organization shall implement defense controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Defense لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective defense practices,preventive,administrative,3,medium,True,monthly,active
8,NCA-ECC,2.0,3.2,3,Resilience,Resilience - Control 2,Resilience - ضابط 2,The organization shall implement resilience controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Resilience لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective resilience practices,detective,technical,4,low,True,continuous,active
9,NCA-ECC,2.0,4.2,4,Third Party,Third Party - Control 2,Third Party - ضابط 2,The organization shall implement third party controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط Third Party لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective third party practices,corrective,operational,1,critical,True,annually,active
10,NCA-ECC,2.0,5.2,5,ICS,ICS - Control 2,ICS - ضابط 2,The organization shall implement ics controls to ensure compliance with Essential Cybersecurity Controls requirements.,يجب على المنظمة تطبيق ضوابط ICS لضمان الامتثال لمتطلبات الضوابط الأساسية للأمن السيبراني,To establish effective ics practices,preventive,administrative,2,high,True,quarterly,active
