lifecycle_id,mapping_id,control_id,framework_code,control_number,evidence_type_code,stage_code,stage_name_en,stage_name_ar,stage_order,duration_days,responsible_role,is_active_stage
1,1,1,NCA-ECC,1-1-1,POLICY,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
2,1,1,NCA-ECC,1-1-1,POLICY,PLAN,Planning,التخطيط,2,7,Control Owner,False
3,1,1,NCA-ECC,1-1-1,POLICY,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
4,1,1,NCA-ECC,1-1-1,POLICY,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
5,1,1,NCA-ECC,1-1-1,POLICY,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
6,1,1,NCA-ECC,1-1-1,POLICY,STORE,Storage,التخزين,6,1,GRC Platform,True
7,1,1,NCA-ECC,1-1-1,POLICY,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
8,1,1,NCA-ECC,1-1-1,POLICY,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
9,1,1,NCA-ECC,1-1-1,POLICY,REFRESH,Refresh,التحديث,9,14,Control Owner,False
10,1,1,NCA-ECC,1-1-1,POLICY,RETAIN,Retention,الاحتفاظ,10,1080,Records Manager,True
11,1,1,NCA-ECC,1-1-1,POLICY,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
12,1,1,NCA-ECC,1-1-1,POLICY,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
13,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
14,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,PLAN,Planning,التخطيط,2,7,Control Owner,False
15,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
16,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
17,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
18,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,STORE,Storage,التخزين,6,1,GRC Platform,True
19,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
20,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
21,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,REFRESH,Refresh,التحديث,9,14,Control Owner,False
22,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
23,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
24,2,1,NCA-ECC,1-1-1,STRATEGY_DOC,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
25,3,1,NCA-ECC,1-1-1,ATTESTATION,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
26,3,1,NCA-ECC,1-1-1,ATTESTATION,PLAN,Planning,التخطيط,2,7,Control Owner,False
27,3,1,NCA-ECC,1-1-1,ATTESTATION,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
28,3,1,NCA-ECC,1-1-1,ATTESTATION,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
29,3,1,NCA-ECC,1-1-1,ATTESTATION,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
30,3,1,NCA-ECC,1-1-1,ATTESTATION,STORE,Storage,التخزين,6,1,GRC Platform,True
31,3,1,NCA-ECC,1-1-1,ATTESTATION,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
32,3,1,NCA-ECC,1-1-1,ATTESTATION,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
33,3,1,NCA-ECC,1-1-1,ATTESTATION,REFRESH,Refresh,التحديث,9,14,Control Owner,False
34,3,1,NCA-ECC,1-1-1,ATTESTATION,RETAIN,Retention,الاحتفاظ,10,1080,Records Manager,True
35,3,1,NCA-ECC,1-1-1,ATTESTATION,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
36,3,1,NCA-ECC,1-1-1,ATTESTATION,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
37,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
38,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,PLAN,Planning,التخطيط,2,7,Control Owner,False
39,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
40,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,VALIDATE,Validation,التحقق,4,7,Quality Reviewer,False
41,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,APPROVE,Approval,الموافقة,5,5,Manager/CISO,False
42,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,STORE,Storage,التخزين,6,1,GRC Platform,True
43,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,USE,Active Use,الاستخدام النشط,7,365,Audit Function,True
44,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,REVIEW,Periodic Review,المراجعة الدورية,8,30,Internal Audit,False
45,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,REFRESH,Refresh,التحديث,9,14,Control Owner,False
46,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,RETAIN,Retention,الاحتفاظ,10,1800,Records Manager,True
47,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,ARCHIVE,Archive,الأرشفة,11,1,IT Operations,False
48,4,1,NCA-ECC,1-1-1,MEETING_MINUTES,DISPOSE,Disposal,التخلص,12,1,Records Manager,False
49,5,2,NCA-ECC,1-1-2,ROADMAP,DEFINE,Definition,التعريف,1,7,Compliance Officer,False
50,5,2,NCA-ECC,1-1-2,ROADMAP,PLAN,Planning,التخطيط,2,7,Control Owner,False
51,5,2,NCA-ECC,1-1-2,ROADMAP,COLLECT,Collection,الجمع,3,14,Evidence Collector,False
