mapping_id,control_id,framework_code,control_number,evidence_type_code,evidence_name_en,evidence_name_ar,evidence_category,is_mandatory,is_primary,display_order,min_retention_months,review_frequency_months,approval_role,format_hints,requirement_description_en
1,1,NCA-ECC,1-1-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cybersecurity Strategy Definition
2,1,NCA-ECC,1-1-1,STRATEGY_DOC,Strategy Document,وثيقة الاستراتيجية,document,True,False,2,60,12,Authorizing Official,PDF,Provide Strategy Document demonstrating implementation of Cybersecurity Strategy Definition
3,1,NCA-ECC,1-1-1,ATTESTATION,Management Attestation,إقرار الإدارة,document,False,False,3,36,12,Executive,PDF,Provide Management Attestation demonstrating implementation of Cybersecurity Strategy Definition
4,1,NCA-ECC,1-1-1,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,4,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Cybersecurity Strategy Definition
5,2,NCA-ECC,1-1-2,ROADMAP,Implementation Roadmap,خارطة الطريق,document,True,True,1,60,6,Executive,"PDF, XLSX",Provide Implementation Roadmap demonstrating implementation of Strategy Implementation Roadmap
6,2,NCA-ECC,1-1-2,REPORT,Report,تقرير,record,True,False,2,36,3,Department Head,"PDF, XLSX",Provide Report demonstrating implementation of Strategy Implementation Roadmap
7,2,NCA-ECC,1-1-2,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,False,False,3,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Strategy Implementation Roadmap
8,2,NCA-ECC,1-1-2,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,4,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Strategy Implementation Roadmap
9,3,NCA-ECC,1-1-3,REVIEW_REPORT,Review Report,تقرير المراجعة,record,True,True,1,60,12,Reviewer,PDF,Provide Review Report demonstrating implementation of Strategy Review
10,3,NCA-ECC,1-1-3,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,True,False,2,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Strategy Review
11,3,NCA-ECC,1-1-3,AUDIT_REPORT,Audit Report,تقرير التدقيق,record,False,False,3,84,12,Auditor,PDF,Provide Audit Report demonstrating implementation of Strategy Review
12,4,NCA-ECC,1-2-1,ORG_CHART,Organizational Chart,الهيكل التنظيمي,document,True,True,1,60,12,Executive,"PDF, VISIO",Provide Organizational Chart demonstrating implementation of Cybersecurity Department
13,4,NCA-ECC,1-2-1,JOB_DESCRIPTION,Job Description,الوصف الوظيفي,document,True,False,2,60,24,HR,"PDF, DOCX",Provide Job Description demonstrating implementation of Cybersecurity Department
14,4,NCA-ECC,1-2-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Cybersecurity Department
15,4,NCA-ECC,1-2-1,POLICY,Policy Document,وثيقة السياسة,document,False,False,4,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cybersecurity Department
16,5,NCA-ECC,1-2-2,ORG_CHART,Organizational Chart,الهيكل التنظيمي,document,True,True,1,60,12,Executive,"PDF, VISIO",Provide Organizational Chart demonstrating implementation of Cybersecurity Function Reporting
17,5,NCA-ECC,1-2-2,REPORTING_LINE,Reporting Line Document,وثيقة خط الرفع,document,True,False,2,60,12,HR,PDF,Provide Reporting Line Document demonstrating implementation of Cybersecurity Function Reporting
18,5,NCA-ECC,1-2-2,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Cybersecurity Function Reporting
19,6,NCA-ECC,1-2-3,JOB_DESCRIPTION,Job Description,الوصف الوظيفي,document,True,True,1,60,24,HR,"PDF, DOCX",Provide Job Description demonstrating implementation of Cybersecurity Manager - Saudi National
20,6,NCA-ECC,1-2-3,APPOINTMENT_LETTER,Appointment Letter,خطاب التعيين,document,True,False,2,60,0,HR,PDF,Provide Appointment Letter demonstrating implementation of Cybersecurity Manager - Saudi National
21,6,NCA-ECC,1-2-3,QUALIFICATIONS,Qualifications/CV,المؤهلات,document,False,False,3,60,24,HR,PDF,Provide Qualifications/CV demonstrating implementation of Cybersecurity Manager - Saudi National
22,6,NCA-ECC,1-2-3,TRAINING_RECORD,Training Record,سجل التدريب,record,False,False,4,60,12,HR,"PDF, XLSX",Provide Training Record demonstrating implementation of Cybersecurity Manager - Saudi National
23,7,NCA-ECC,1-2-4,COMMITTEE_CHARTER,Committee Charter,ميثاق اللجنة,document,True,True,1,60,12,Board,PDF,Provide Committee Charter demonstrating implementation of Cybersecurity Steering Committee
24,7,NCA-ECC,1-2-4,MEETING_MINUTES,Meeting Minutes,محضر الاجتماع,record,True,False,2,60,1,Chair,"PDF, DOCX",Provide Meeting Minutes demonstrating implementation of Cybersecurity Steering Committee
25,7,NCA-ECC,1-2-4,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Cybersecurity Steering Committee
26,8,NCA-ECC,1-3-1,POLICY,Policy Document,وثيقة السياسة,document,True,True,1,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Cybersecurity Policies
27,8,NCA-ECC,1-3-1,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Cybersecurity Policies
28,8,NCA-ECC,1-3-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Cybersecurity Policies
29,8,NCA-ECC,1-3-1,COMMUNICATION_RECORD,Communication Record,سجل الاتصالات,record,False,False,4,36,12,None,"PDF, EMAIL",Provide Communication Record demonstrating implementation of Cybersecurity Policies
30,9,NCA-ECC,1-3-2,REVIEW_REPORT,Review Report,تقرير المراجعة,record,True,True,1,60,12,Reviewer,PDF,Provide Review Report demonstrating implementation of Policy Review
31,9,NCA-ECC,1-3-2,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Policy Review
32,9,NCA-ECC,1-3-2,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Policy Review
33,10,NCA-ECC,1-4-1,RACI_MATRIX,RACI Matrix,مصفوفة RACI,document,True,True,1,36,12,Department Head,"XLSX, PDF",Provide RACI Matrix demonstrating implementation of Defined Roles
34,10,NCA-ECC,1-4-1,JOB_DESCRIPTION,Job Description,الوصف الوظيفي,document,True,False,2,60,24,HR,"PDF, DOCX",Provide Job Description demonstrating implementation of Defined Roles
35,10,NCA-ECC,1-4-1,APPROVAL_RECORD,Approval Record,سجل الموافقة,record,False,False,3,60,0,Authorizer,"PDF, EMAIL",Provide Approval Record demonstrating implementation of Defined Roles
