mapping_id,control_id,framework_code,control_number,evidence_type_code,evidence_name_en,evidence_name_ar,evidence_category,is_mandatory,is_primary,display_order,min_retention_months,review_frequency_months,approval_role,format_hints,requirement_description_en
1,1,PDPL,Art-5,CONSENT_RECORD,Consent Record,سجل الموافقة,record,True,True,1,60,12,DPO,"JSON, XLSX",Provide Consent Record demonstrating implementation of Lawful Basis Required
2,1,PDPL,Art-5,POLICY,Policy Document,وثيقة السياسة,document,True,False,2,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Lawful Basis Required
3,1,PDPL,Art-5,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,False,False,3,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Lawful Basis Required
4,1,PDPL,Art-5,PRIVACY_NOTICE,Privacy Notice,إشعار الخصوصية,document,False,False,4,84,12,DPO/Legal,"HTML, PDF",Provide Privacy Notice demonstrating implementation of Lawful Basis Required
5,1,PDPL,Art-5,ROPA,Records of Processing Activities,سجل أنشطة المعالجة,record,False,False,5,60,6,DPO,"XLSX, JSON",Provide Records of Processing Activities demonstrating implementation of Lawful Basis Required
6,2,PDPL,Art-6,CONSENT_MGMT_PLATFORM,Consent Management Platform,منصة الموافقات,artifact,True,True,1,60,1,DPO,JSON,Provide Consent Management Platform demonstrating implementation of Consent Requirements
7,2,PDPL,Art-6,CONSENT_RECORD,Consent Record,سجل الموافقة,record,True,False,2,60,12,DPO,"JSON, XLSX",Provide Consent Record demonstrating implementation of Consent Requirements
8,2,PDPL,Art-6,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Consent Requirements
9,2,PDPL,Art-6,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,False,False,4,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Consent Requirements
10,3,PDPL,Art-10,PRIVACY_NOTICE,Privacy Notice,إشعار الخصوصية,document,True,True,1,84,12,DPO/Legal,"HTML, PDF",Provide Privacy Notice demonstrating implementation of Purpose Limitation
11,3,PDPL,Art-10,ROPA,Records of Processing Activities,سجل أنشطة المعالجة,record,True,False,2,60,6,DPO,"XLSX, JSON",Provide Records of Processing Activities demonstrating implementation of Purpose Limitation
12,3,PDPL,Art-10,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Purpose Limitation
13,3,PDPL,Art-10,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,False,False,4,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Purpose Limitation
14,4,PDPL,Art-11,ROPA,Records of Processing Activities,سجل أنشطة المعالجة,record,True,True,1,60,6,DPO,"XLSX, JSON",Provide Records of Processing Activities demonstrating implementation of Data Minimization
15,4,PDPL,Art-11,DATA_INVENTORY,Data Inventory,جرد البيانات,record,True,False,2,36,6,DPO,"XLSX, JSON",Provide Data Inventory demonstrating implementation of Data Minimization
16,4,PDPL,Art-11,POLICY,Policy Document,وثيقة السياسة,document,False,False,3,36,12,Executive Management,"PDF, DOCX",Provide Policy Document demonstrating implementation of Data Minimization
17,4,PDPL,Art-11,DPIA,Data Protection Impact Assessment,تقييم أثر حماية البيانات,record,False,False,4,60,12,DPO,"PDF, DOCX",Provide Data Protection Impact Assessment demonstrating implementation of Data Minimization
18,5,PDPL,Art-12,DATA_QUALITY_REPORT,Data Quality Report,تقرير جودة البيانات,record,True,True,1,24,3,Data Steward,"PDF, XLSX",Provide Data Quality Report demonstrating implementation of Data Accuracy
19,5,PDPL,Art-12,PROCEDURE,Procedure Document,وثيقة الإجراءات,document,True,False,2,36,12,Department Head,"PDF, DOCX",Provide Procedure Document demonstrating implementation of Data Accuracy
20,5,PDPL,Art-12,AUDIT_LOG,Audit Trail Log,سجل التدقيق,record,False,False,3,24,3,None,"LOG, JSON",Provide Audit Trail Log demonstrating implementation of Data Accuracy
