risk_id,control_id,framework_code,control_number,primary_risk_category,secondary_risk_category,tertiary_risk_category,inherent_likelihood,inherent_impact,inherent_risk_score,inherent_risk_level,control_effectiveness,residual_likelihood,residual_impact,residual_risk_score,residual_risk_level,risk_reduction_percent,risk_treatment,risk_owner_role,review_frequency_months
1,1,SAMA-CSF,3.1.1-1,STRATEGIC,COMPLIANCE,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
2,2,SAMA-CSF,3.1.1-2,STRATEGIC,COMPLIANCE,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
3,3,SAMA-CSF,3.1.2-1,STRATEGIC,COMPLIANCE,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
4,4,SAMA-CSF,3.1.3-1,COMPLIANCE,OPERATIONAL,STRATEGIC,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
5,5,SAMA-CSF,3.1.4-1,OPERATIONAL,COMPLIANCE,STRATEGIC,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
6,6,SAMA-CSF,3.1.5-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
7,7,SAMA-CSF,3.1.6-1,OPERATIONAL,REPUTATIONAL,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
8,8,SAMA-CSF,3.1.7-1,OPERATIONAL,COMPLIANCE,STRATEGIC,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
9,9,SAMA-CSF,3.2.1-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
10,10,SAMA-CSF,3.2.1-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
11,11,SAMA-CSF,3.2.2-1,COMPLIANCE,REGULATORY,REPUTATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
12,12,SAMA-CSF,3.2.3-1,COMPLIANCE,REGULATORY,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
13,13,SAMA-CSF,3.2.4-1,COMPLIANCE,OPERATIONAL,STRATEGIC,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
14,14,SAMA-CSF,3.2.4-2,COMPLIANCE,OPERATIONAL,STRATEGIC,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
15,15,SAMA-CSF,3.3.1-1,OPERATIONAL,COMPLIANCE,REPUTATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
16,16,SAMA-CSF,3.3.2-1,CONFIDENTIALITY,AVAILABILITY,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
17,17,SAMA-CSF,3.3.3-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
18,18,SAMA-CSF,3.3.4-1,CONFIDENTIALITY,INTEGRITY,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
19,19,SAMA-CSF,3.3.5-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
20,20,SAMA-CSF,3.3.6-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
21,21,SAMA-CSF,3.3.7-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
22,22,SAMA-CSF,3.3.8-1,CONFIDENTIALITY,INTEGRITY,PRIVACY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
23,23,SAMA-CSF,3.3.9-1,OPERATIONAL,COMPLIANCE,STRATEGIC,4,3,12,high,3,3,2,6,medium,50.0,accept,CISO,12
24,24,SAMA-CSF,3.3.10-1,CONFIDENTIALITY,INTEGRITY,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
25,25,SAMA-CSF,3.3.11-1,CONFIDENTIALITY,INTEGRITY,AVAILABILITY,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
26,26,SAMA-CSF,3.3.12-1,CONFIDENTIALITY,INTEGRITY,FINANCIAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
27,27,SAMA-CSF,3.3.13-1,CONFIDENTIALITY,PRIVACY,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
28,28,SAMA-CSF,3.3.14-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
29,29,SAMA-CSF,3.3.15-1,OPERATIONAL,STRATEGIC,COMPLIANCE,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
30,30,SAMA-CSF,3.3.16-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
31,31,SAMA-CSF,3.3.17-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
32,32,SAMA-CSF,3.4.1-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
33,33,SAMA-CSF,3.4.1-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
34,34,SAMA-CSF,3.4.2-1,THIRD_PARTY,OPERATIONAL,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
35,35,SAMA-CSF,3.4.3-1,CONFIDENTIALITY,AVAILABILITY,THIRD_PARTY,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
