risk_id,control_id,framework_code,control_number,primary_risk_category,secondary_risk_category,tertiary_risk_category,inherent_likelihood,inherent_impact,inherent_risk_score,inherent_risk_level,control_effectiveness,residual_likelihood,residual_impact,residual_risk_score,residual_risk_level,risk_reduction_percent,risk_treatment,risk_owner_role,review_frequency_months
1,1,NCA-ECC,1-1-1,STRATEGIC,COMPLIANCE,OPERATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
2,2,NCA-ECC,1-1-2,STRATEGIC,COMPLIANCE,OPERATIONAL,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
3,3,NCA-ECC,1-1-3,STRATEGIC,COMPLIANCE,OPERATIONAL,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
4,4,NCA-ECC,1-2-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
5,5,NCA-ECC,1-2-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
6,6,NCA-ECC,1-2-3,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
7,7,NCA-ECC,1-2-4,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
8,8,NCA-ECC,1-3-1,COMPLIANCE,OPERATIONAL,STRATEGIC,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
9,9,NCA-ECC,1-3-2,COMPLIANCE,OPERATIONAL,STRATEGIC,4,4,16,high,4,2,3,6,medium,62.5,accept,CISO,12
10,10,NCA-ECC,1-4-1,OPERATIONAL,COMPLIANCE,STRATEGIC,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
11,11,NCA-ECC,1-4-2,OPERATIONAL,COMPLIANCE,STRATEGIC,4,3,12,high,3,3,2,6,medium,50.0,accept,CISO,12
12,12,NCA-ECC,1-5-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
13,13,NCA-ECC,1-5-2,OPERATIONAL,STRATEGIC,COMPLIANCE,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
14,14,NCA-ECC,1-5-3,OPERATIONAL,STRATEGIC,COMPLIANCE,3,5,15,high,3,2,4,8,medium,46.7,accept,CISO,12
15,15,NCA-ECC,1-6-1,OPERATIONAL,STRATEGIC,COMPLIANCE,4,4,16,high,3,3,3,9,medium,43.8,accept,CISO,12
16,16,NCA-ECC,1-7-1,COMPLIANCE,REGULATORY,REPUTATIONAL,4,5,20,critical,3,3,4,12,high,40.0,mitigate,CISO,6
