sector,sector_name,framework,framework_name,applicability,category
BANKING,Banking,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
BANKING,Banking,PDPL,Personal Data Protection Law,mandatory,privacy
BANKING,Banking,SAMA-CSF,SAMA Cyber Security Framework,mandatory,financial
BANKING,Banking,SAMA-AML,SAMA AML/CFT Rules,mandatory,financial
BANKING,Banking,SAMA-ITGF,SAMA IT Governance Framework,mandatory,financial
BANKING,Banking,SAMA-BCM,SAMA Business Continuity Framework,mandatory,financial
BANKING,Banking,ZATCA-EINV,ZATCA E-Invoicing,mandatory,tax
BANKING,Banking,ZATCA-VAT,ZATCA VAT Regulations,mandatory,tax
BANKING,Banking,MOCI-COMPANIES,Saudi Companies Law M/132,mandatory,commerce
BANKING,Banking,MHRSD-LABOR,Saudi Labor Law,mandatory,labor
BANKING,Banking,MHRSD-SAUDIZATION,Nitaqat Saudization Program,mandatory,labor
BANKING,Banking,NCNICC,NCA National Cybersecurity Controls for CNI,mandatory,cybersecurity
BANKING,Banking,SAMA-PSR,SAMA Payment Services Regulations,conditional,financial
BANKING,Banking,PCI-DSS,PCI DSS,conditional,international
BANKING,Banking,SWIFT-CSP,SWIFT Customer Security Programme,conditional,international
BANKING,Banking,CMA-CG,CMA Corporate Governance Regulations,conditional,governance
BANKING,Banking,ISO27001,ISO/IEC 27001,voluntary,international
BANKING,Banking,ISO22301,ISO 22301 BCM,voluntary,international
BANKING,Banking,NIST-CSF,NIST Cybersecurity Framework,voluntary,international
BANKING,Banking,SOC2,SOC 2 Type II,voluntary,international
INSURANCE,Insurance,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
INSURANCE,Insurance,PDPL,Personal Data Protection Law,mandatory,privacy
INSURANCE,Insurance,SAMA-CSF,SAMA Cyber Security Framework,mandatory,financial
INSURANCE,Insurance,SAMA-AML,SAMA AML/CFT Rules,mandatory,financial
INSURANCE,Insurance,SAMA-ITGF,SAMA IT Governance Framework,mandatory,financial
INSURANCE,Insurance,ZATCA-EINV,ZATCA E-Invoicing,mandatory,tax
INSURANCE,Insurance,ZATCA-VAT,ZATCA VAT Regulations,mandatory,tax
INSURANCE,Insurance,MOCI-COMPANIES,Saudi Companies Law M/132,mandatory,commerce
INSURANCE,Insurance,MHRSD-LABOR,Saudi Labor Law,mandatory,labor
INSURANCE,Insurance,MHRSD-SAUDIZATION,Nitaqat Saudization Program,mandatory,labor
INSURANCE,Insurance,NCNICC,NCA National Cybersecurity Controls for CNI,mandatory,cybersecurity
INSURANCE,Insurance,CMA-CG,CMA Corporate Governance Regulations,conditional,governance
INSURANCE,Insurance,ISO27001,ISO/IEC 27001,voluntary,international
INSURANCE,Insurance,ISO22301,ISO 22301 BCM,voluntary,international
INSURANCE,Insurance,NIST-CSF,NIST Cybersecurity Framework,voluntary,international
CAPITAL_MARKETS,Capital Markets,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
CAPITAL_MARKETS,Capital Markets,PDPL,Personal Data Protection Law,mandatory,privacy
CAPITAL_MARKETS,Capital Markets,CMA-CG,CMA Corporate Governance Regulations,mandatory,governance
CAPITAL_MARKETS,Capital Markets,CMA-IC,CMA Internal Controls,mandatory,governance
CAPITAL_MARKETS,Capital Markets,CMA-DISCLOSURE,CMA Disclosure Rules,mandatory,governance
CAPITAL_MARKETS,Capital Markets,ZATCA-EINV,ZATCA E-Invoicing,mandatory,tax
CAPITAL_MARKETS,Capital Markets,ZATCA-VAT,ZATCA VAT Regulations,mandatory,tax
CAPITAL_MARKETS,Capital Markets,MOCI-COMPANIES,Saudi Companies Law M/132,mandatory,commerce
CAPITAL_MARKETS,Capital Markets,MHRSD-LABOR,Saudi Labor Law,mandatory,labor
CAPITAL_MARKETS,Capital Markets,MHRSD-SAUDIZATION,Nitaqat Saudization Program,mandatory,labor
CAPITAL_MARKETS,Capital Markets,NCNICC,NCA National Cybersecurity Controls for CNI,mandatory,cybersecurity
CAPITAL_MARKETS,Capital Markets,SAMA-AML,SAMA AML/CFT Rules,conditional,financial
CAPITAL_MARKETS,Capital Markets,ISO27001,ISO/IEC 27001,voluntary,international
CAPITAL_MARKETS,Capital Markets,NIST-CSF,NIST Cybersecurity Framework,voluntary,international
CAPITAL_MARKETS,Capital Markets,SOC2,SOC 2 Type II,voluntary,international
FINTECH,FinTech,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
FINTECH,FinTech,NCA-CCC,NCA Cloud Cybersecurity Controls,mandatory,cybersecurity
FINTECH,FinTech,PDPL,Personal Data Protection Law,mandatory,privacy
FINTECH,FinTech,SAMA-CSF,SAMA Cyber Security Framework,mandatory,financial
FINTECH,FinTech,SAMA-PSR,SAMA Payment Services Regulations,mandatory,financial
FINTECH,FinTech,ZATCA-EINV,ZATCA E-Invoicing,mandatory,tax
FINTECH,FinTech,MOCI-ECOM,MoCI E-Commerce Law,mandatory,commerce
FINTECH,FinTech,MOCI-CONSUMER,MoCI Consumer Protection,mandatory,commerce
FINTECH,FinTech,MHRSD-LABOR,Saudi Labor Law,mandatory,labor
FINTECH,FinTech,NCNICC,NCA National Cybersecurity Controls for CNI,mandatory,cybersecurity
FINTECH,FinTech,PCI-DSS,PCI DSS,conditional,international
FINTECH,FinTech,SAMA-AML,SAMA AML/CFT Rules,conditional,financial
FINTECH,FinTech,ISO27001,ISO/IEC 27001,voluntary,international
FINTECH,FinTech,SOC2,SOC 2 Type II,voluntary,international
FINTECH,FinTech,ISO27017,ISO/IEC 27017 (Cloud),voluntary,international
PAYMENT,Payment Services,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
PAYMENT,Payment Services,PDPL,Personal Data Protection Law,mandatory,privacy
PAYMENT,Payment Services,SAMA-CSF,SAMA Cyber Security Framework,mandatory,financial
PAYMENT,Payment Services,SAMA-PSR,SAMA Payment Services Regulations,mandatory,financial
PAYMENT,Payment Services,SAMA-AML,SAMA AML/CFT Rules,mandatory,financial
PAYMENT,Payment Services,PCI-DSS,PCI DSS,mandatory,international
PAYMENT,Payment Services,ZATCA-EINV,ZATCA E-Invoicing,mandatory,tax
PAYMENT,Payment Services,MOCI-CONSUMER,MoCI Consumer Protection,mandatory,commerce
PAYMENT,Payment Services,MHRSD-LABOR,Saudi Labor Law,mandatory,labor
PAYMENT,Payment Services,NCNICC,NCA National Cybersecurity Controls for CNI,mandatory,cybersecurity
PAYMENT,Payment Services,NCA-CCC,NCA Cloud Cybersecurity Controls,conditional,cybersecurity
PAYMENT,Payment Services,ISO27001,ISO/IEC 27001,voluntary,international
PAYMENT,Payment Services,SOC2,SOC 2 Type II,voluntary,international
HEALTHCARE,Healthcare,NCA-ECC,NCA Essential Cybersecurity Controls,mandatory,cybersecurity
HEALTHCARE,Healthcare,PDPL,Personal Data Protection Law,mandatory,privacy
