persona_id,sector,sector_name,size,size_employees,org_type,org_type_name,business_model,ownership,mandatory_count,mandatory_frameworks,conditional_frameworks,voluntary_frameworks,total_frameworks
1,BANKING,Banking,ENTERPRISE,1000-999999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,17,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-AML; SAMA-BCM; SAMA-CSF; SAMA-ITGF; ZATCA-EINV; ZATCA-VAT,CMA-CG; PCI-DSS; SAMA-PSR; SWIFT-CSP,ISO22301; ISO27001; NIST-CSF; SOC2,25
2,BANKING,Banking,ENTERPRISE,1000-999999,JSC_LISTED,Public Joint Stock Company (Listed),B2B,LISTED_TADAWUL,15,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCNICC; PDPL; SAMA-AML; SAMA-BCM; SAMA-CSF; SAMA-ITGF; ZATCA-EINV; ZATCA-VAT,CMA-CG; PCI-DSS; SAMA-PSR; SWIFT-CSP,ISO22301; ISO27001; NIST-CSF; SOC2,23
3,BANKING,Banking,LARGE,250-999,FOREIGN_BRANCH,Foreign Company Branch,B2C,FOREIGN_PARENT,14,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-AML; SAMA-BCM; SAMA-CSF; SAMA-ITGF; ZATCA-EINV; ZATCA-VAT,CMA-CG; PCI-DSS; SAMA-PSR; SWIFT-CSP,ISO22301; ISO27001; NIST-CSF; SOC2,22
4,FINTECH,FinTech,SMALL,6-49,LLC,Limited Liability Company,B2C,100_SAUDI,11,MHRSD-LABOR; MOCI-CONSUMER; MOCI-ECOM; NCA-CCC; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-CSF; SAMA-PSR; ZATCA-EINV,PCI-DSS; SAMA-AML,ISO27001; ISO27017; SOC2,16
5,FINTECH,FinTech,MEDIUM,50-249,LLC,Limited Liability Company,B2C,MAJORITY_SAUDI,11,MHRSD-LABOR; MOCI-CONSUMER; MOCI-ECOM; NCA-CCC; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-CSF; SAMA-PSR; ZATCA-EINV,PCI-DSS; SAMA-AML,ISO27001; ISO27017; SOC2,16
6,FINTECH,FinTech,MEDIUM,50-249,JSC_CLOSED,Closed Joint Stock Company,B2B,MIXED,10,MHRSD-LABOR; MOCI-CONSUMER; MOCI-ECOM; NCA-CCC; NCA-ECC; NCNICC; PDPL; SAMA-CSF; SAMA-PSR; ZATCA-EINV,PCI-DSS; SAMA-AML,ISO27001; ISO27017; SOC2,15
7,FINTECH,FinTech,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,14,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MOCI-CONSUMER; MOCI-ECOM; NCA-CCC; NCA-ECC; NCNICC; PCI-DSS; PDPL; SAMA-CSF; SAMA-PSR; ZATCA-EINV,PCI-DSS; SAMA-AML,ISO27001; ISO27017; SOC2,19
8,HEALTHCARE,Healthcare,MICRO,1-5,SOLE_PROP,Sole Proprietorship / Establishment,B2C,100_SAUDI,12,CBAHI; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOH-HIS; MOH-PATIENT-SAFETY; NCA-ECC; NCNICC; PCI-DSS; PDPL; ZATCA-EINV,NCA-CCC,ISO22301; ISO27001; ISO9001,16
9,HEALTHCARE,Healthcare,SMALL,6-49,LLC,Limited Liability Company,B2C,FAMILY_OWNED,12,CBAHI; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOH-HIS; MOH-PATIENT-SAFETY; NCA-ECC; NCNICC; PCI-DSS; PDPL; ZATCA-EINV,NCA-CCC,ISO22301; ISO27001; ISO9001,16
10,HEALTHCARE,Healthcare,MEDIUM,50-249,LLC,Limited Liability Company,B2C,MAJORITY_SAUDI,12,CBAHI; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOH-HIS; MOH-PATIENT-SAFETY; NCA-ECC; NCNICC; PCI-DSS; PDPL; ZATCA-EINV,NCA-CCC,ISO22301; ISO27001; ISO9001,16
11,HEALTHCARE,Healthcare,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,15,CBAHI; CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOH-HIS; MOH-PATIENT-SAFETY; NCA-ECC; NCNICC; PCI-DSS; PDPL; ZATCA-EINV,NCA-CCC,ISO22301; ISO27001; ISO9001,19
12,HEALTHCARE,Healthcare,ENTERPRISE,1000-999999,GOV_AUTHORITY,Government Authority,PUBLIC_SERVICE,GOVT_OWNED,12,CBAHI; DGA-DCC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOH-HIS; MOH-PATIENT-SAFETY; NCA-ECC; NCNICC; NDMO-DM; PDPL; ZATCA-EINV,NCA-CCC,ISO22301; ISO27001; ISO9001,16
13,ECOMMERCE,E-Commerce,MICRO,1-5,SOLE_PROP,Sole Proprietorship / Establishment,B2C,100_SAUDI,10,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOCI-ECOM; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC; NCNICC; PCI-DSS,ISO27001; ISO27017,15
14,ECOMMERCE,E-Commerce,SMALL,6-49,LLC,Limited Liability Company,B2C,100_SAUDI,10,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOCI-ECOM; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC; NCNICC; PCI-DSS,ISO27001; ISO27017,15
15,ECOMMERCE,E-Commerce,MEDIUM,50-249,LLC,Limited Liability Company,B2B2C,MAJORITY_SAUDI,10,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOCI-ECOM; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC; NCNICC; PCI-DSS,ISO27001; ISO27017,15
16,ECOMMERCE,E-Commerce,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2B2C,LISTED_TADAWUL,13,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; MOCI-ECOM; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC; NCNICC; PCI-DSS,ISO27001; ISO27017,18
17,CLOUD_IT,Cloud / IT Services,SMALL,6-49,LLC,Limited Liability Company,SAAS,100_SAUDI,11,CST-CLOUD; ISO27017; ISO27018; MHRSD-LABOR; MOCI-COMPANIES; NCA-CCC; NCA-ECC; NCNICC; PDPL; SOC2; ZATCA-EINV,,ISO27001; ISO27017; ISO27018; SOC2,15
18,CLOUD_IT,Cloud / IT Services,MEDIUM,50-249,LLC,Limited Liability Company,SAAS,MAJORITY_SAUDI,11,CST-CLOUD; ISO27017; ISO27018; MHRSD-LABOR; MOCI-COMPANIES; NCA-CCC; NCA-ECC; NCNICC; PDPL; SOC2; ZATCA-EINV,,ISO27001; ISO27017; ISO27018; SOC2,15
19,CLOUD_IT,Cloud / IT Services,LARGE,250-999,FOREIGN_BRANCH,Foreign Company Branch,SAAS,FOREIGN_PARENT,11,CST-CLOUD; ISO27017; ISO27018; MHRSD-LABOR; MOCI-COMPANIES; NCA-CCC; NCA-ECC; NCNICC; PDPL; SOC2; ZATCA-EINV,,ISO27001; ISO27017; ISO27018; SOC2,15
20,CLOUD_IT,Cloud / IT Services,ENTERPRISE,1000-999999,JSC_LISTED,Public Joint Stock Company (Listed),SAAS,LISTED_TADAWUL,14,CMA-CG; CMA-DISCLOSURE; CMA-IC; CST-CLOUD; ISO27017; ISO27018; MHRSD-LABOR; MOCI-COMPANIES; NCA-CCC; NCA-ECC; NCNICC; PDPL; SOC2; ZATCA-EINV,,ISO27001; ISO27017; ISO27018; SOC2,18
21,GOVERNMENT,Government,ENTERPRISE,1000-999999,GOV_MINISTRY,Government Ministry,PUBLIC_SERVICE,GOVT_OWNED,6,DGA-DCC; MHRSD-LABOR; NCA-CSCC; NCA-ECC; NDMO-DM; PDPL,NCA-CCC; NCA-OTCC,ISO22301; ISO27001,10
22,GOVERNMENT,Government,LARGE,250-999,GOV_AUTHORITY,Government Authority,PUBLIC_SERVICE,GOVT_OWNED,6,DGA-DCC; MHRSD-LABOR; NCA-CSCC; NCA-ECC; NDMO-DM; PDPL,NCA-CCC; NCA-OTCC,ISO22301; ISO27001,10
23,ENERGY,Energy & Utilities,ENTERPRISE,1000-999999,PIF_OWNED,PIF-Owned Entity,B2B,PIF_OWNED_FULL,11,DGA-DCC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-CSCC; NCA-ECC; NCA-OTCC; NCNICC; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC,ISO22301; ISO27001,14
24,ENERGY,Energy & Utilities,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),B2B,LISTED_TADAWUL,13,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-CSCC; NCA-ECC; NCA-OTCC; NCNICC; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC,ISO22301; ISO27001,16
25,TELECOM,Telecommunications,ENTERPRISE,1000-999999,JSC_LISTED,Public Joint Stock Company (Listed),B2C,LISTED_TADAWUL,15,CMA-CG; CMA-DISCLOSURE; CMA-IC; CST-CRF; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-CSCC; NCA-ECC; NCNICC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-CCC,ISO22301; ISO27001; ISO27017,19
26,MANUFACTURING,Manufacturing,SMALL,6-49,LLC,Limited Liability Company,MANUFACTURING,FAMILY_OWNED,8,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCA-OTCC; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-OTCC; NCNICC,ISO27001; ISO9001,12
27,MANUFACTURING,Manufacturing,MEDIUM,50-249,LLC,Limited Liability Company,MANUFACTURING,MAJORITY_SAUDI,8,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCA-OTCC; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-OTCC; NCNICC,ISO27001; ISO9001,12
28,MANUFACTURING,Manufacturing,LARGE,250-999,JSC_LISTED,Public Joint Stock Company (Listed),MANUFACTURING,LISTED_TADAWUL,11,CMA-CG; CMA-DISCLOSURE; CMA-IC; MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; NCA-ECC; NCA-OTCC; PDPL; ZATCA-EINV; ZATCA-VAT,NCA-OTCC; NCNICC,ISO27001; ISO9001,15
29,RETAIL,Retail,MICRO,1-5,SOLE_PROP,Sole Proprietorship / Establishment,B2C,100_SAUDI,9,MHRSD-LABOR; MHRSD-SAUDIZATION; MOCI-COMPANIES; MOCI-CONSUMER; NCA-ECC; PCI-DSS; PDPL; ZATCA-EINV; ZATCA-VAT,NCNICC; PCI-DSS,ISO9001,12
