migration_id,module,filename_part,tenant_count,error_category,root_cause
module/action/001_initial_tables,action,001_initial_tables,1,OTHER,"see raw error"
module/action/002_enterprise_expansion,action,002_enterprise_expansion,1,OTHER,"see raw error"
module/action/027_extracted_from_027_tenant_schema_tables,action,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/agrc-engine/001_agrc_engine_tables,agrc-engine,001_agrc_engine_tables,1,OTHER,"see raw error"
module/agrc-engine/027_extracted_from_027_tenant_schema_tables,agrc-engine,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/ai-governance/001_ai_governance_tables,ai-governance,001_ai_governance_tables,1,OTHER,"see raw error"
module/ai-governance/003_agent_delegations_and_proposed_actions,ai-governance,003_agent_delegations_and_proposed_actions,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/ai-governance/027_extracted_from_027_tenant_schema_tables,ai-governance,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/ai/001_ai_engine_initial_schema,ai,001_ai_engine_initial_schema,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/ai/001_initial_tables,ai,001_initial_tables,1,OTHER,"see raw error"
module/ai/027_extracted_from_027_tenant_schema_tables,ai,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/ai/099_extracted_from_099_bootstrap_tenant_domain_tables,ai,099_extracted_from_099_bootstrap_tenant_domain_tables,1,OTHER,"see raw error"
module/ai/111_ai_model_risk_management_enhancement,ai,111_ai_model_risk_management_enhancement,2,OTHER,"see raw error"
module/analytics/001_analytics_tables,analytics,001_analytics_tables,1,OTHER,"see raw error"
module/analytics/002_enterprise_expansion,analytics,002_enterprise_expansion,1,OTHER,"see raw error"
module/analytics/027_extracted_from_027_tenant_schema_tables,analytics,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/asset/001_asset_tables,asset,001_asset_tables,1,OTHER,"see raw error"
module/asset/002_enterprise_expansion,asset,002_enterprise_expansion,1,OTHER,"see raw error"
module/asset/027_extracted_from_027_tenant_schema_tables,asset,027_extracted_from_027_tenant_schema_tables,11,UNRESOLVED_TENANT_PLACEHOLDER,"runner did not substitute __TENANT_SCHEMA__ before exec"
module/attestation/001_initial_tables,attestation,001_initial_tables,1,OTHER,"see raw error"
module/attestation/002_enterprise_expansion,attestation,002_enterprise_expansion,1,OTHER,"see raw error"
